Progress,Duration (in seconds),Finished,ResponseId,real_imaginary,describe,feelings_youalone,feelings_bothyoufirst,feelings_themalone,feelings_boththemfirst,feelings_neither,feelings_youaloneforgiven,feelings_DO_1,feelings_DO_2,feelings_DO_3,feelings_DO_4,feelings_DO_5,feelings_DO_6,feelings_exp,outcome_binary1,outcome_binary1_DO_1,outcome_binary1_DO_2,outcome_binary2,outcome_binary2_DO_1,outcome_binary2_DO_2,blame_1,attention_1,attention_1_TEXT,attention_2,attention_2_TEXT,attention_3,attention_3_TEXT,target_sex,sex,age,comments,mainControl,passedattn,initials,initiator_type,InitiatorType-binarychoice_DO_outcome_binary2,InitiatorType-binarychoice_DO_outcome_binary1,InitiatorType-binarychoice_DO_Q30
100,187,TRUE,R_2vex3Z2Y8UJUhho,I have thought of a real argument/conflict from my life where this is true,Can't agree at work,-19,0,-20,0,-10,-10,2,4,1,3,5,6,,Neither I nor ${e://Field/initials} apologizes.,1,2,Neither I nor ${e://Field/initials} apologizes.,1,2,40,,,,,,banana,Female,Female,29,,showConsentOn showAttnOn,yes,lc,never,2,3,1
100,190,TRUE,R_UWk2HHPXa0vxJEB,I have thought of a real argument/conflict from my life where this is true,"We were working on a project, and an experimental demonstration did not work out properly. After the mishap, I found a fix, but it was too late. The demonstration was really important to this person, and after the mishap he felt as if it would be difficult to trust me.",10,20,-19,30,-20,5,5,1,2,3,4,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,75,,,,,,banana,Male,Male,26,,showConsentOn showAttnOn,yes,STX,always,2,3,1
100,216,TRUE,R_3dNe0dpi9xqXJE4,I have thought of a real argument/conflict from my life where this is true,Disagreement about the process for input and timeline for delivery for a communication product.,-22,15,-1,12,-24,-29,5,2,1,3,4,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,50,,,,,,Banana,Female,Male,34,,showConsentOn showAttnOn,yes,EM,always,2,3,1
100,228,TRUE,R_uthr22c7jsHMSUp,I have thought of a real argument/conflict from my life where this is true,"We were yelling at each other about something simple, but it escalated into something else. My ego was scratched and I said some defensive angry remarks. ",-10,10,-4,7,4,12,1,5,3,4,2,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,46,,,,,,banana,Male,Male,20,,showConsentOn showAttnOn,yes,OSC,always,2,3,1
100,252,TRUE,R_3LfYCLoxkitDLMZ,I have thought of a real argument/conflict from my life where this is true,"Decision to take on new, risky initiative (high effort, high payoff; work is slightly outside of job description)",-20,-10,-20,9,-10,-10,1,2,3,4,5,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,Neither I nor ${e://Field/initials} apologizes.,2,1,35,,Netherlands,,Vietnam,,Morocco,Female,Female,28,,showConsentOn showAttnOn,no,CM,conditional,2,3,1
100,240,TRUE,R_3p4o7ohyg5szGL4,I am imagining myself in a fictional situation where this is true (I can't think of one from my own life),There was a class assignment that was due and the work was designed as a group project. We split the work at the beginning and rushed to put it together at the end--one of the teammates did not do the correct part of the assignment so we were missing a segment altogether,-10,10,10,-10,20,-30,3,2,1,4,5,6,,Neither I nor ${e://Field/initials} apologizes.,1,2,Neither I nor ${e://Field/initials} apologizes.,1,2,59,,,,,,banana ,Female,Male,21,,showConsentOn showAttnOn,yes,NM,never,2,3,1
100,243,TRUE,R_usTgGl3mSlaJR29,I have thought of a real argument/conflict from my life where this is true,This colleague felt that I was not delivering a creative/out of the box enough solution and I felt that I was providing as much as possible given the constraints I was working with. There was no extreme argument but I could tell that he was not pleased with my explanation.,-19,27,-30,30,-8,22,1,5,4,3,2,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,30,,,,,,banana,Male,Female,24,,showConsentOn showAttnOn,yes,TS,always,3,2,1
100,245,TRUE,R_2upnP4bUI9b7rme,I have thought of a real argument/conflict from my life where this is true,My manager didn't want to present an analysis that I had done to the client and we argued if it was worth presenting or not.,-21,5,-21,5,-10,-6,2,1,5,3,4,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",2,1,52,,,,,,banana,Female,Male,28,,showConsentOn showAttnOn,yes,MM,always,2,3,1
100,249,TRUE,R_5z2POi5gxcMK2Wd,I have thought of a real argument/conflict from my life where this is true,"They did not do any work in a group project. Even when we made it easy for them to help, they refused and hurt our grade.",-30,-20,10,25,-5,-11,3,1,2,5,4,6,,Neither I nor ${e://Field/initials} apologizes.,2,1,Neither I nor ${e://Field/initials} apologizes.,2,1,10,,,,,,banana,Male,Male,18,,showConsentOn showAttnOn,yes,JI,never,2,3,1
100,271,TRUE,R_2TAhz04fPgBTknX,I have thought of a real argument/conflict from my life where this is true,Debate of FS reporting approach,-20,21,30,20,-30,-30,4,2,1,3,5,6,,"I apologize first, then ${e://Field/initials} apologizes.",1,2,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,36,,,,,,banana,Female,Female,32,,showConsentOn showAttnOn,yes,AG,always,3,2,1
100,273,TRUE,R_12otYqdSDsG4eL6,I am imagining myself in a fictional situation where this is true (I can't think of one from my own life),"Not meeting deadlines, always showing up late, not participating, etc.",-30,0,10,30,-15,-30,3,5,4,1,2,6,,"I apologize first, then ${e://Field/initials} apologizes.",1,2,Neither I nor ${e://Field/initials} apologizes.,2,1,15,,,,,,banana,Female,Female,20,,showConsentOn showAttnOn,yes,STX,conditional,3,2,1
100,285,TRUE,R_10DwSyWiQFkUfmC,I am imagining myself in a fictional situation where this is true (I can't think of one from my own life),JK and I had a conflict on what need to done for a certain project,-9,21,-20,22,-9,-19,3,2,1,4,5,6,,Neither I nor ${e://Field/initials} apologizes.,2,1,Neither I nor ${e://Field/initials} apologizes.,2,1,40,4,,3,,5,banana,Male,Female,27,,showConsentOn showAttnOn,yes,JK,never,2,3,1
100,281,TRUE,R_OKg5nrDTv3nxWy5,I have thought of a real argument/conflict from my life where this is true,"I send information that STX is supposed to verify. STX is supposed to let me know if I made any errors within a certain timeframe. I made an error in the information and STX did not tell me about this error like they were supposed to. So, it was my fault for the initial error but also STX's fault for not verifying like they were supposed to. ",-30,-9,-24,30,-24,0,1,2,5,3,4,6,,"I apologize first, then ${e://Field/initials} apologizes.",1,2,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,39,,,,,,banana,Male,Female,25,,showConsentOn showAttnOn,yes,STX,always,2,3,1
100,296,TRUE,R_77KaqUoB8OLZETT,I have thought of a real argument/conflict from my life where this is true,My team missed a deadline with an important stakeholder because of an unclear expectation.,-10,20,-10,20,-5,-30,5,4,3,1,2,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,50,,,,,,Banana,Female,Female,48,,showConsentOn showAttnOn,yes,JP,always,2,3,1
100,288,TRUE,R_BzjjEa5gf8TqZtn,I have thought of a real argument/conflict from my life where this is true,"I posted a tweet on the official organization account at a clean energy nonprofit advocating for fighting climate change. My supervisor found it to be too polarizing and removed the tweet, then we had a heated conversation about the incident. ",-25,8,20,15,-10,5,4,3,5,2,1,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,Neither I nor ${e://Field/initials} apologizes.,1,2,30,,,,,,banana,Female,Male,33,,showConsentOn showAttnOn,yes,SP,conditional,2,3,1
